# AuxiliaryHangulDecompositions-5.0.0d3.txt
# =========================================
#
# This is a data file to be used on top of the standard datafile
# UnicodeData-5.0.0.txt and the arithmetic canonical decomposition of
# precomposed Hangul syllable characters. Later versions of the
# UnicodeData.txt datafile may be suitable to use without any change
# to this data file.
#
# Only the Hangul characters that have a decomposition mapping
# that is DIFFERENT from that found in UnicodeData-5.0.0.txt are
# listed in this datafile.
#
# The use of the data in this file is described in Unicode Technical
# Note NN, "Auxiliary character decompositions for supporting Hangul".
#
# Note that the standard normalisations according to UAX 15 must use
# the decompositions in the UnicodeData.txt datafile only. The auxiliary
# decomposition mappings listed in this data file are intended for 
# applications that do additional decomposition or composition of Hangul
# data (e.g., collation, rendering, or "hypernormalisation" called for
# by a user editing command, or other specified "hypernormalisations"
# using this data). It may be possible to use this data together with
# other composition data, that are either on top of this data (like
# those in AuxiliaryKSX1001Decompositions.txt) or are independent of
# the auxiliary data given here.
#
# Format:
#   Field 1: Unicode code point (the entries are ordered on this field),
#   Field 2: auxiliary decomposition mapping (overrides UnicodeData.txt),
#   Finally, in a comment, the character name and some additional comments.
#
313F; <free> 1105 1111 1160	# HANGUL LETTER RIEUL-PHIEUPH, (<compat> 115F 1160 11B5) [<free> 1105 314D]
3140; <free> 111A 1160	# HANGUL LETTER RIEUL-HIEUH, (<compat> 115F 1160 11B6)
3141; <free> 1106 1160	# HANGUL LETTER MIEUM, (<compat> 115F 1160 11B7)
3142; <free> 1107 1160	# HANGUL LETTER PIEUP, (<compat> 115F 1160 11B8)
3143; <free> 1108 1160	# HANGUL LETTER SSANGPIEUP, (<compat> 115F 1160 11B8 11B8)
3144; <free> 1121 1160	# HANGUL LETTER PIEUP-SIOS, (<compat> 115F 1160 11B9)
3145; <free> 1109 1160	# HANGUL LETTER SIOS, (<compat> 115F 1160 11BA)
3146; <free> 110A 1160	# HANGUL LETTER SSANGSIOS, (<compat> 115F 1160 11BB)
3147; <free> 110B 1160	# HANGUL LETTER IEUNG, (<compat> 115F 1160 11BC)
3148; <free> 110C 1160	# HANGUL LETTER CIEUC, (<compat> 115F 1160 11BD)
3149; <free> 110D 1160	# HANGUL LETTER SSANGCIEUC, (<compat> 115F 1160 11BD 11BD)
314A; <free> 110E 1160	# HANGUL LETTER CHIEUCH, (<compat> 115F 1160 11BE)
314B; <free> 110F 1160	# HANGUL LETTER KHIEUKH, (<compat> 115F 1160 11BF)
314C; <free> 1110 1160	# HANGUL LETTER THIEUTH, (<compat> 115F 1160 11C0)
314D; <free> 1111 1160	# HANGUL LETTER PHIEUPH, (<compat> 115F 1160 11C1)
314E; <free> 1112 1160	# HANGUL LETTER HIEUH, (<compat> 115F 1160 11C2)
##
314F; <free> 115F 1161	# HANGUL LETTER A
3150; <free> 115F 1162	# HANGUL LETTER AE (A-I)
3151; <free> 115F 1163	# HANGUL LETTER YA
3152; <free> 115F 1164	# HANGUL LETTER YAE (YA-I)
3153; <free> 115F 1165	# HANGUL LETTER EO
3154; <free> 115F 1166	# HANGUL LETTER E (EO-I)
3155; <free> 115F 1167	# HANGUL LETTER YEO
3156; <free> 115F 1168	# HANGUL LETTER YE (YEO-I)
3157; <free> 115F 1169	# HANGUL LETTER O
3158; <free> 115F 116A	# HANGUL LETTER WA (O-A)
3159; <free> 115F 116B	# HANGUL LETTER WAE (O-A-I)
315A; <free> 115F 116C	# HANGUL LETTER OE (O-I)
315B; <free> 115F 116D	# HANGUL LETTER YO
315C; <free> 115F 116E	# HANGUL LETTER U
315D; <free> 115F 116F	# HANGUL LETTER WEO (U-EO)
315E; <free> 115F 1170	# HANGUL LETTER WE (U-EO-I)
315F; <free> 115F 1171	# HANGUL LETTER WI (U-I)
3160; <free> 115F 1172	# HANGUL LETTER YU
3161; <free> 115F 1173	# HANGUL LETTER EU
3162; <free> 115F 1174	# HANGUL LETTER YI (EU-I)
3163; <free> 115F 1175	# HANGUL LETTER I
##
